subject,movement,sample_id,detected,nme
64,brow raise,64-brow raise/key frames/64-brow raise_50.jpg,True,0.05820892659718068
77,frown,77-frown/key frames/77-frown_121.jpg,True,0.06819784948790589
70,funny,70-funny/key frames/70-funny_682.jpg,True,0.06591894759640927
98,gentle eyes closure,98-gentle eyes closure/key frames/98-gentle eyes closure_119.jpg,True,0.06404202993160141
28,right eyebrow,28-right eyebrow/key frames/28-right eyebrow_1.jpg,True,0.06074281152597389
78,right wink,78-right wink/key frames/78-right wink_1.jpg,True,0.05591414659872733
11,snarl,11-snarl/key frames/11-snarl_79.jpg,True,0.0671894103449024
86,close smile,86-close smile/key frames/86-close smile_137.jpg,True,0.07027508374903832
20,open smile,20-open smile/key frames/20-open smile_79.jpg,True,0.06507630470000515
7,left wink,7-left wink/key frames/7-left wink_224.jpg,True,0.0652346418039172
5,left smile,5-left smile/key frames/5-left smile_51.jpg,True,0.06099210412245889
37,right smile,37-right smile/key frames/37-right smile_230.jpg,True,0.06709942464441516
30,left snarl,30-left snarl/key frames/30-left snarl_94.jpg,True,0.06683397545456152
49,tight eyes closure,49-tight eyes closure/key frames/49-tight eyes closure_65.jpg,True,0.06809709975321014
73,left eyebrow,73-left eyebrow/key frames/73-left eyebrow_66.jpg,True,0.062451796534970544
68,right snarl,68-right snarl/key frames/68-right snarl_57.jpg,True,0.06311610633969698
96,right eyebrow,96-right eyebrow/key frames/96-right eyebrow_100.jpg,True,0.06201228608719779
72,right smile,72-right smile/key frames/72-right smile_116.jpg,True,0.06276570285104535
80,open smile,80-open smile/key frames/80-open smile_90.jpg,True,0.06473187916365998
75,gentle eyes closure,75-gentle eyes closure/key frames/75-gentle eyes closure_115.jpg,True,0.06140067068943753
69,brow raise,69-brow raise/key frames/69-brow raise_25.jpg,True,0.06806915049236469
50,close smile,50-close smile/key frames/50-close smile_150.jpg,True,0.06665296353004348
10,left smile,10-left smile/key frames/10-left smile_196.jpg,True,0.0600488165998813
79,funny,79-funny/key frames/79-funny_28.jpg,True,0.05849454737376445
66,left wink,66-left wink/key frames/66-left wink_107.jpg,True,0.0666041658194682
63,frown,63-frown/key frames/63-frown_60.jpg,True,0.060363734009642275
48,left snarl,48-left snarl/key frames/48-left snarl_76.jpg,True,0.06169137846522326
59,left eyebrow,59-left eyebrow/key frames/59-left eyebrow_88.jpg,True,0.06068913930613379
1,right wink,1-right wink/key frames/1-right wink_1.jpg,True,0.06239299398542921
33,tight eyes closure,33-tight eyes close/key frames/33-tight eyes close_388.jpg,True,0.06960730634090202
16,right snarl,16-right snarl/key frames/16-right snarl_70.jpg,True,0.06784896050301367
56,snarl,56-snarl/key frames/56-snarl_84.jpg,True,0.05212566744506019
83,tight eyes closure,83-tight eyes closure/key frames/83-tight eyes closure_80.jpg,True,0.06436648893194599
100,left smile,100-left smile/key frames/100-left smile_59.jpg,True,0.062355724556830444
65,right snarl,AFLFP/65/65-right snarl_63.jpg,True,0.06416573285909301
74,gentle eyes closure,74-gentle eyes closure/key frames/74-gentle eyes closure_80.jpg,True,0.062255673237408646
32,left wink,32-left wink/key frames/32-left wink_1.jpg,True,0.0659348853869443
84,left snarl,84-left snarl/key frames/84-left snarl_133.jpg,True,0.061011769839236216
8,funny,8-funny/key frames/8-funny_1.jpg,True,0.06557464299569937
87,open smile,87-open smile/key frames/87-open smile_65.jpg,True,0.06709154054973132
24,frown,24-frown/key frames/24-frown_70.jpg,True,0.057146599622867854
51,left eyebrow,51-left eyebrow/key frames/51-left eyebrow_95.jpg,True,0.06251265221691962
53,right eyebrow,53/53-right eyebrow_key frames/53-right eyebrow_10.jpg,True,0.06268426417309216
88,right wink,88-right wink/key frames/88-right wink_64.jpg,True,0.06402908609982591
81,close smile,81-close smile/key frames/81-close smile_12.jpg,True,0.06479925918746045
41,snarl,41-snarl/key frames/41-snarl_1.jpg,True,0.0665816324261027
55,brow raise,55-brow raise/key frames/55-brow raise_2.jpg,True,0.06018313099168678
94,right smile,94-right smile/key frames/94-right smile_60.jpg,True,0.068496240584373
92,left eyebrow,92-left eyebrow/key frames/92-left eyebrow_110.jpg,True,0.05927078086116594
26,gentle eyes closure,26-gentle eys closure/key frames/26-gentle eys closure_399.jpg,True,0.06237258559880966
22,open smile,22-open smile/key frames/22-open smile_48.jpg,True,0.060606012069239996
